iteration,gen_diff,cost_diff,gen_GTM,gen_OPGF,cost_GTM,cost_OPGF,status
1,164347.748056972,11839968.43243066,524399.9999999629,360052.2519429909,13921915.64302558,2081947.2105949204,success
2,166658.63407596777,1432924.842237027,363299.99999998766,196641.3659240199,3514872.0528269103,2081947.2105898834,success
3,166658.6340759641,1432924.842237027,363299.99999998766,196641.36592402356,3514872.0528269103,2081947.2105898834,success
