iteration,gen_diff,cost_diff,gen_GTM,gen_OPGF,cost_GTM,cost_OPGF,status
1,109761.504041187,1617661.9595695287,389000.0,279238.495958813,6861597.82464572,5243935.865076192,success
2,166121.9118569148,862606.1855647285,360999.999999996,194878.08814308117,6106542.050640494,5243935.865075765,success
3,166121.91185688347,862606.1855647285,360999.999999996,194878.08814311252,6106542.050640494,5243935.865075765,success
