iteration,gen_diff,cost_diff,gen_GTM,gen_OPGF,cost_GTM,cost_OPGF,status
1,165609.25654209516,4883751.632945562,363897.16552714055,198287.9089850454,5572275.756981809,688524.1240362464,success
2,,,,,,,OPGF_failed
